S1, Oz0001, 2017-05-18 02:33:56.858
Oz0004, 102, 5
Oz0012, 102, 2
Oz0008, 109, 1
Oz0003, 123, 0
Oz0007, 152, 0
Oz0011, 197, 0

C2, Oz0001, 2017-05-18 02:34:22.561
Oz0005, 556, 5
Oz0010, 574, 2
Oz0007, 578, 1
Oz0011, 712, 0
Oz0003, 748, 0

R3, Oz0001, 2017-05-18 02:34:53.333
Oz0006, 16, 5
Oz0003, 17, 2
Oz0002, 18, 1
Oz0007, 19, 0
Oz0011, 19, 0

S4, Oz0009, 2017-05-18 02:36:09.165
Oz0012, 132, 5
Oz0008, 133, 2
Oz0004, 147, 1
Oz0003, 175, 0
Oz0011, 181, 0
Oz0007, 195, 0

S5, Oz0009, 2017-05-18 02:39:12.368
Oz0007, 113, 5
Oz0012, 130, 2
Oz0008, 158, 1
Oz0003, 160, 0
Oz0004, 171, 0
Oz0011, 172, 0

R6, Oz0009, 2017-05-18 02:39:33.670
Oz0007, 12, 5
Oz0002, 14, 2
Oz0003, 14, 1
Oz0011, 14, 0
Oz0006, 19, 0

S7, Oz0009, 2017-05-18 03:43:26.596
Oz0019, 101, 5
Oz0023, 114, 2
Oz0012, 145, 1
Oz0015, 145, 0
Oz0003, 145, 0
Oz0007, 163, 0
Oz0008, 185, 0
Oz0004, 196, 0

